Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
Zurich Insurance Group Ltd,,", ","Michel Liès, Chairman,  Mario Greco, CEO",,"increase United States dollar|US$ 69.87 billion (2021)<ref name=""AR2021"">cite web
|url=https://www.zurich.com/reports/2021/annual-report/|title=Annual Report 2021|publisher=Zurich</ref>","56,000 (2021)<ref name=""AR2021""/>",,,,
Commonwealth Bank of Australia Limited,,"Sydney|Sydney, New South Wales, Australia",unbulleted list|Matt Comyn<br/>(Chief executive officer|CEO),hlist| Retail banking | Commercial bank|corporate banking| investment banking| insurance| private banking| private equity| mortgage loans| credit cards| investment management| wealth management | asset management | mutual funds| exchange-traded funds| index funds,,"53,000+",URL|commbank.com.au,,,
UBS Group AG,,", ","plainlist|
*Colm Kelleher (chairman)
*Sergio Ermotti (Group Chief Executive Officer|CEO)
*Todd Tuckner (Chief financial officer|CFO)<ref>Cite news|last1=Hirt|first1=Oliver|last2=Janowski|first2=Tomasz|url=https://www.reuters.com/business/finance/ubs-says-credit-suisse-ceo-koerner-join-leadership-combined-group-2023-05-09/|title=UBS replaces CFO, keeps Credit Suisse's Koerner in top team|newspaper=Reuters |date=9 May 2023|archive-date=9 May 2023|archive-url=https://web.archive.org/web/20230509091100/https://www.reuters.com/business/finance/ubs-says-credit-suisse-ceo-koerner-join-leadership-combined-group-2023-05-09/|url-status=live</ref>",hlist|Investment banking| wealth management| private banking| investment management| asset management| corporate banking|retail banking| Commercial bank|corporate banking|private equity|finance and insurance|retail banking|Mortgage loans|mortgages|credit cards|mutual funds |exchange-traded funds |index funds,Increase US$|40.8&nbsp,billion|link=yes (2023),"115,038 (end 2023)",,,
British American Tobacco p.l.c.,,", ",ubl|Luc Jobin (Chairman)|Tadeu Marroco (CEO),ubl|Cigarettes|Nicotine pouches|Electronic cigarettes,decrease Pound sterling|£27.283 billion (2023)<ref name=results>cite web| title=Preliminary Results 2023| url=https://www.bat.com/attachments/BAT_Annual_Report_Form_20-F_2023.pdf| publisher=British American Tobacco| access-date=11 February 2024</ref>,"46,000 (2024)<ref>cite web|url=https://www.bat.com/DOCS4HKC.html|title=At a glance|publisher=British American Tobacco|access-date=11 February 2024</ref>",,,,
Intesa Sanpaolo S.p.A.,start date and age|2007|1 (merger),", ","unbulleted list
  |Gian Maria Gros-Pietro, <small>(Chairman)</small>
  |Carlo Messina, <small>(CEO)</small>",ubl | Asset management | Banking | Commodities | Credit cards | Equities trading | Insurance | Investment management | Mortgage loans | Mutual funds | Exchange-traded funds | Index funds | Private equity | Risk management | Wealth management,,decrease 95574,,,,
"Merck & Co., Inc.",,", ","Robert M. Davis nowrap|(chairman, President (corporate title)|president and Chief executive officer|CEO)",hlist|Pharmaceuticals|generic drugs|over-the-counter drugs|vaccines|Medical diagnosis|diagnostics|contact lenses|Veterinary medicine,Increase US$|60.12 billion|link=yes (2023),"circa|72,000 (2023)",,,,
"Japan Post Holdings Co., Ltd.",,", ",Hiroya Masuda (President (corporate title)|president and Chief executive officer|CEO),"Mail delivery, post offices, banking, life insurance, insurance, courier","United States dollar|US$ 109.91 billion (2020)<ref name=""fortune.com"">Cite web |date=31 March 2020 |title=Japan Post Holdings Profile |url=https://fortune.com/company/japan-post-holdings/global500/ |access-date=25 October 2020 |publisher=Fortune</ref>",232112,,,,
"Charter Communications, Inc.",,"Stamford, Connecticut, U.S.",ubl|Tom Rutledge (executive chairman)|Chris Winfrey (President (corporate title)|president and Chief executive officer|CEO),ubl|Broadband|Cable television|Digital cable|Cable telephony|Digital telephone|High-definition television|HDTV|Home security|VoIP phone|Internet security,nowrap|increase US$54.61 billion (2023)<ref name=10-K />,"circa| 101,100 (2023)<ref name=10-K>cite web|url=https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1091667/000109166724000028/chtr-20231231.htm |title=Charter Communications, Inc. 2023 Annual Report (Form 10-K) |date=2 February 2024 |publisher=U.S. Securities and Exchange Commission</ref>",URL|https://corporate.charter.com/,,,
Unilever PLC,start date and age|1929|09|02|df=y|br=y,"London, England, United Kingdom","unbulleted list
  |Ian Meakins (chair)
  |wd-ceo","collapsible list|
* Foods
* Condiments
* Dairy products
* Ice cream
* Energy drinks
* Wellbeing vitamins
* Minerals and dietary supplement|supplements
* Tea
* Instant coffee
* Baby food
* Instant noodles
* Pharmaceutical and consumer healthcare products
* Breakfast cereals
* Cleaning agents
* Water and air purifiers
* Pet food
* Toothpaste
* Bottled water
* Soft drinks
* Beauty products
* Personal care",decrease €59.604&nbsp,billion (2023)<ref name=results>cite web|url=https://www.unilever.com/files/ir-q4-2023-full-announcement.pdf|title=Annual Results 2023|publisher=Unilever|access-date=12 February 2024</ref>,"127,000 (2024)<ref>cite web|url=https://www.unilever.com/our-company/at-a-glance/|title=At a glance|publisher=Unilever|access-date=12 February 2024</ref>",URL|https://unilever.com,,
Dell Technologies Inc.,start date and age|2016|09|07 as a merger of EMC Corporation and Dell Inc.,", ","Michael Dell, (chairman and CEO), Jeff Clarke, (vice chairman and COO)","hlist
 | Personal computers
 | Server (computing)|Servers
 | Storage area network|SAN storage
 | Network-attached storage|NAS storage
 | Computer network|Networking | Software",decrease US$|88.4 billion|link=yes (2024),"circa|120,000 (2024)",url|dell.com,,,
Manulife Financial Corporation,,", ",Roy Gori (president and chief executive officer)<br/> John Cassaday (chairman of the board of directors)<br/>Naveed Irshad (CEO of Canadian operations),"Asset management, Commercial banking, Commercial mortgages, Consumer banking, Group benefits, Insurance, Investments, Mutual funds, Private banking, Real estate, Reinsurance, Securities, Underwriting, Wealth management","decrease CA$39.0&nbsp;billion <small>(2018)<ref name=stats>[https://www.manulife.com/content/dam/corporate/investors/MFC_SIP_2018_Q4_EN.pdf ""Statistical Information Package Q4 2018""]. Manulife. Retrieved February 14, 2019.</ref></small>","34,000 employees and 63,000 agents <small>(2015)<ref name=employees>[http://www.manulife.com/public/news/detail/0,,artId=148682&lang=en&navId=630002,00.html ""Increasing number of Canadians hesitant to invest, even in housing""]. ''Manulife''. February 15, 2016. Retrieved February 15, 2016. Webarchive|url=https://web.archive.org/web/20160307170904/http://www.manulife.com/public/news/detail/0%2C%2CartId%3D148682%26lang%3Den%26navId%3D630002%2C00.html |date=March 7, 2016 </ref></small>",,,,
American Express Company<!--exact legal name as specified in its charter-->,,"nowrap|New York City, U.S.","nowrap|Stephen Squeri|Stephen J. Squeri, nowrap|(Chairman#Public corporations|chairman & Chief executive officer|CEO), nowrap|Jeffrey C. Campbell, nowrap|(Executive vice president|EVP & Chief financial officer|CFO)",unbulleted list|Charge cards|Credit cards|Debit cards|Traveler's cheques|Corporate banking,increase US$|60.52 billion|link=yes (2023),"74,600 (2023)",,,,
Truist Financial Corporation,,"nowrap|Charlotte, North Carolina, U.S.","unbulleted list| William H. Rogers Jr. nowrap|(Chairman & CEO)<ref name=""auto4"">Cite news|url=https://www.bizjournals.com/charlotte/news/2021/04/15/truist-more-on-earnings-first-quarter-2021.html|title=Truist Financial execs on latest progress in post-merger integration|work=Charlotte Business Journal|date=15 April 2021|access-date=28 May 2021</ref>|Michael Maguire (CFO)",unbulleted list|Commercial and Consumer banking|Investment banking|Insurance|Mortgage,"increase US$|33.25&nbsp;1,000,000,000|billion|link=yes (2023)<ref name=""10K""/>","40,000 (2024)<ref name=""Truist announces new job cuts"">cite news|url=https://www.charlotteobserver.com/news/business/article290074374.html#campaignName=charlotte_morning_newsletter|title=Truist announces new job cuts as restructuring continues for Charlotte-based bank|last1=Jordan|first1=Chase|work=Charlotte Observer|date=16 July 2024</ref>",URL|https://truist.com,,,
PJSC Rosneft,,", ",ubl|Mohammed Saleh Al Sada <small>(Chairman)</small>|Igor Sechin <small>(CEO)</small>,Petroleum<br/>Natural gas<br/>Motor fuels<br/>Petrochemicals,"Decrease
$93.57 billion",,,,,
China State Construction<br>Engineering Corporation,,", ","plainlist|
*Zhou Naixiang small|(Chairman)<br>small|(Party Secretary)",,increase US$ 320.4 billion (2023)<ref name=Financials>cite web |title=China State Construction Engineering|url=https://fortune.com/company/china-state-construction-engineering/ |website=Fortune GLobal 500 |publisher=Fortune |access-date=2024-08-24</ref>,"382,894 (2023)<ref name=Financials />",,,,
"JD.com, Inc. (京东)",,", ",,,"increase US$152.8&nbsp;billion, 2023<ref name=SEC/>","310,000 (Dec 2020)<ref name=JD/>",URL|https://corporate.jd.com/,,,
Coca-Cola,,", ",,,,,URL|https://www.coca-cola.com/|coca-cola.com,,,
"Iberdrola, S.A.",,"Bilbao, Spain, ",José Ignacio Sánchez Galán|Ignacio Galán <small>(Chairman and chief executive officer|CEO)</small><br>Duke of Rivas|The Duke of Rivas <small>(chief financial officer|CFO)</small>,"Electricity generation and Electricity distribution|distribution, renewable energy, natural gas production, sale and distribution, telecommunications","increase €53.949 billion <small>(2022)<ref name=""AR2022"">cite web |url=https://www.iberdrola.com/shareholders-investors/fact-sheet |title=Iberdrola Fact Sheet - Iberdrola |publisher=Iberdrola |access-date=2023-07-31</ref></small>","increase 40,090 <small>(2022)<ref name=""AR2022"" /></small>",,,,
KDDI Corporation,,", ","ill|Takashi Tanaka(businessman)|jp|田中孝司 (実業家), CEO, ill|Makoto Takahashi(businessman)|jp|髙橋誠 (KDDI), President & CEO","Landline|Fixed line and mobile phone|mobile telephony, Internet services, digital television","profit JP¥ 5.24 trillion (2020)<ref name=KDDIAR>cite press release|title= KDDI Annual Report|url=https://www.kddi.com/extlib/files/english/corporate/ir/library/annual_report/pdf/kddi_ar2020_e.pdf|access-date= February 17, 2021</ref>","44,952 (2020)<ref name=KDDIAR/>",,,,
"Bank of Montreal, nobold|lang|fr|Banque de Montréal",,", ","plainlist|
* George A. Cope|George Cope (Chair of the Board|Chair)
* Darryl White (banker)|Darryl White (Chief executive officer|CEO)
* Tayfun Tuzun (Chief financial officer|CFO)<ref>cite web |title=Executive Bios ! Corporate Information ! BMO |url=https://www.bmo.com/main/about-bmo/corporate-information/executive-bios/ |website=www.bmo.com |access-date=13 March 2023</ref>",,"decrease Canadian dollar|Can$31.2 billion (2023)<ref name=""Financials"">cite web |title=2023 Annual Report to Shareholders |url=https://www.bmo.com/ir/archive/en/bmo_ar2023_CFS.pdf |website=Investor Relations |publisher=BMO Financial Group |access-date=10 December 2023</ref>","55,767 (FTE, 2023)<ref name=""Financials""/>",,,,
State Bank of India,,", ","ubl
  | Challa Sreenivasulu Setty  small|(List of chairmen of the State Bank of India|Chairman)<ref>cite web|url=https://www.livemint.com/companies/news/govt-appoints-dinesh-kumar-khara-as-sbi-chairman-for-3-years/amp-11602000392605.html|work=livemint|title=govt-appoints-dinesh-kumar-khara-as-sbi-chairman-for-3-years|date=6 October 2020|access-date=7 October 2020</ref>
  | Kameshwar Rao Kodavanti small|(Chief Financial Officer|CFO)<ref>cite news|url= https://economictimes.indiatimes.com/industry/banking/finance/banking/sbi-appoints-kameshwar-rao-kodavanti-as-cfo/articleshow/101419102.cms|title= SBI appoints Kameshwar Rao Kodavanti as CFO|newspaper= The Economic Times|date= July 2023</ref>",ubl|Retail banking|Corporate banking|Investment banking|Mortgage loans| Private banking|Wealth management|Financial risk management|Risk management|Asset management|Investment management|Mutual funds|Exchange-traded funds|Index funds|Credit cards|Insurance,"increase INRConvert|4.66|lc<ref name=""Annual Report 2022-23"">cite web|url=https://www.bseindia.com/stock-share-price/state-bank-of-india/sbin/500112/financials-results/ |title=Annual Report of State Bank of India|access-date=22 October 2024</ref>","2,32,296 (31 March 2024)<ref>cite news |last=Ghosh |first=Shayan |date=14 May 2024 |title=SBI Reduced it's Headcount by 25,000 in five years |url=https://www.cnbctv18.com/business/finance/state-bank-of-india-cuts-headcounts-25000-five-years-19411821.htm |access-date=15 May 2024</ref>","URL|https://sbi.co.in/<br>
URL|https://bank.sbi/<br>
URL|https://onlinesbi.sbi/",,,
Mitsubishi Group,,", ",,"collapsible list|
* Aircraft
* Car|Automobiles
* Chemical substances
* Electronics|Electronic devices
* Gasoline
* Home appliances",,870000,,,,
Capital One Financial Corporation,,"Tysons, Virginia, United States","Unbulleted list
   | Richard Fairbank (Chairman, President (corporate title)|President and Chief Executive Officer|CEO)
   | Andrew Young (Chief financial officer|CFO)",,"nowrap|up US$|36.787 billion|link=yes (2023)<ref>cite web |title=Capital One Financial Net Income 2010-2022 |url=https://www.macrotrends.net/stocks/charts/COF/capital-one-financial/net-income |website=www.macrotrends.net |access-date=January 28, 2023</ref>","52,000 (December 2023)",URL|capitalone.com,,,
"The PNC Financial Services Group, Inc.",,", ",William S. Demchak (Chairperson|chairman and Chief executive officer|CEO)<br>Michael P. Lyons (President (corporate title)|president),"Retail banking|Consumer banking, Commercial bank|Corporate banking, Private banking, Financial analysis, Insurance, Investment banking, Mortgage loans, Private equity, Wealth management, Credit cards",up US$|link=yes21.1 billion,"59,426 (2021)",URL|pnc.com,,,
HDFC Bank Limited,,"Mumbai, Maharashtra, India","ubl|Atanu Chakraborty ,  (small|Chairman)<ref>cite news|url=https://www.thehindu.com/business/Industry/rbi-approves-appointment-of-atanu-chakraborty-as-part-time-chairman-of-hdfc-bank/article34390586.ece|title=RBI approves appointment of Atanu Chakraborty as part-time chairman of HDFC Bank|publisher=thehindu.com|access-date=22 April 2021|archive-date=23 April 2021|archive-url=https://web.archive.org/web/20210423060640/https://www.thehindu.com/business/Industry/rbi-approves-appointment-of-atanu-chakraborty-as-part-time-chairman-of-hdfc-bank/article34390586.ece|url-status=live</ref>| Sashidhar Jagdishan, (small|Chief executive officer|CEO)","ubl|Retail banking|Consumer banking|Commercial banking|Insurance|Credit cards|Investment banking|Mortgage loans|Private banking|Private equity|Investment management|Asset management|Mutual funds|Exchange-traded funds|Index funds||Wealth management<ref name=""AR201213"">cite web|url = http://www.moneycontrol.com/financials/hdfcbank/balance-sheet/HDF01|title = Balance Sheet of HDFC Bank|publisher = moneycontrol|access-date = 7 January 2016|archive-date = 4 April 2020|archive-url = https://web.archive.org/web/20200404003111/https://www.moneycontrol.com/financials/hdfcbank/balance-sheet/HDF01|url-status = live</ref>|Stockbroking|Financial risk management|Risk management","increase INRConvert|407994|c<ref name=pnl>Cite web|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/c519bb2e-9c54-4d27-a1eb-dc2dd9c09be6.pdf|title=HDFC Bank Consolidated Profit & Loss account, HDFC Bank Financial Statement & Accounts</ref>",formatnum:213527 (31 March 2024)<ref name=arep>Cite web|publisher=HDFC BANK|title=HDFC Bank Annual Report|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/2160dea5-d49e-4409-83a4-c2b111a3bd12.pdf |access-date=18 July 2024</ref>,,,,
